Association	Panic	Before	After	Rise
No	4	>3	>3	0
Yes	3	1-2	>3	2
Yes	3	2-3	2-3	0
Yes	3	<1	<1	0
Yes	2	1-2	<1	-1
No	2	1-2	1-2	0
Yes	1	2-3	>3	1
Yes	0	1-2	1-2	0
No	3	>3	>3	0
No	1	1-2	1-2	0
Yes	4	<1	<1	0
Yes	0	<1	1-2	1
Yes	4	2-3	>3	1
Yes	2	1-2	>3	2
Yes	1	1-2	2-3	1
No	2	2-3	2-3	0
Yes	3	1-2	1-2	0
No	4	1-2	2-3	1
Yes	2	>3	>3	0
No	4	2-3	2-3	0
Yes	1	<1	1-2	1
Yes	5	1-2	1-2	0
Yes	0	<1	<1	0
No	4	1-2	1-2	0
No	2	1-2	>3	2
No	2	<1	1-2	1
No	1	<1	<1	0
Yes	1	1-2	1-2	0
Yes	4	1-2	>3	2
Yes	2	<1	2-3	2
No	0	2-3	>3	1
Yes	0	2-3	2-3	0
No	2	1-2	1-2	0
No	3	<1	2-3	2
No	1	<1	<1	0
No	1	1-2	1-2	0
Yes	2	1-2	1-2	0
Yes	5	1-2	>3	2
Yes	5	1-2	>3	2
No	2	2-3	>3	1
No	1	2-3	>3	1
No	5	>3	>3	0
Yes	2	1-2	>3	2
No	3	2-3	2-3	0
No	3	2-3	>3	1
Yes	0	1-2	>3	2
No	3	1-2	1-2	0
Yes	0	1-2	>3	2
Yes	2	2-3	>3	1
Yes	3	2-3	>3	1
No	2	1-2	<1	-1
No	2	<1	<1	0
No	1	1-2	2-3	1
No	1	1-2	1-2	0
Yes	1	1-2	2-3	1
No	2	>3	>3	0
Yes	3	1-2	2-3	1
No	1	1-2	2-3	1
No	3	1-2	>3	2
No	2	>3	>3	0
No	2	1-2	1-2	0
No	2	<1	1-2	1
No	4	1-2	2-3	1
No	4	1-2	1-2	0
Yes	3	<1	<1	0
Yes	2	<1	<1	0
Yes	5	>3	>3	0
No	1	>3	>3	0
Yes	3	1-2	1-2	0
No	3	<1	>3	3
No	2	1-2	1-2	0
Yes	3	1-2	1-2	0
Yes	4	1-2	2-3	1
No	3	1-2	2-3	1
No	1	>3	>3	0
Yes	5	1-2	1-2	0
Yes	4	1-2	>3	2
No	4	2-3	>3	1
Yes	4	<1	2-3	2
No	4	2-3	>3	1
No	3	1-2	2-3	1
Yes	3	1-2	2-3	1
Yes	0	1-2	2-3	1
Yes	4	>3	>3	0
Yes	1	<1	2-3	2
Yes	4	1-2	1-2	0
No	3	2-3	>3	1
Yes	2	1-2	1-2	0
No	2	1-2	1-2	0
No	1	1-2	1-2	0
Yes	2	1-2	2-3	1
No	2	<1	1-2	1
Yes	4	<1	<1	0
No	1	<1	<1	0
No	5	1-2	2-3	1
Yes	1	2-3	2-3	0
No	3	>3	>3	0
No	1	1-2	1-2	0
No	2	2-3	2-3	0
No	4	1-2	>3	2
Yes	3	<1	2-3	2
No	2	2-3	>3	1
No	3	<1	<1	0
Yes	2	<1	<1	0
Yes	3	<1	>3	3
No	4	2-3	>3	1
No	2	1-2	2-3	1
Yes	5	>3	>3	0
Yes	2	1-2	>3	2
No	1	2-3	>3	1
Yes	5	>3	>3	0
Yes	0	<1	<1	0
Yes	3	1-2	1-2	0
Yes	2	2-3	>3	1
Yes	3	>3	>3	0
Yes	3	1-2	2-3	1
No	3	1-2	1-2	0
Yes	2	1-2	1-2	0
Yes	0	1-2	1-2	0
Yes	4	2-3	2-3	0
Yes	2	>3	>3	0
Yes	3	1-2	1-2	0
No	3	1-2	>3	2
Yes	3	>3	2-3	-1
No	3	<1	1-2	1
No	3	1-2	1-2	0
No	3	<1	<1	0
No	2	1-2	1-2	0
Yes	4	>3	>3	0
Yes	1	<1	1-2	1
Yes	0	<1	<1	0
Yes	0	2-3	2-3	0
No	3	1-2	1-2	0
Yes	5	1-2	2-3	1
No	1	<1	1-2	1
No	2	1-2	2-3	1
No	3	>3	>3	0
No	1	1-2	1-2	0
Yes	2	>3	>3	0
No	2	1-2	>3	2
