Before	After	Rise	Country
0.5	1.5	1	India
0.5	3.5	3	India
1.5	2.5	1	India
2.5	3.5	1	India
2.5	3.5	1	India
0.5	1.5	1	India
1.5	2.5	1	India
3.5	3.5	0	India
1.5	2.5	1	India
1.5	2.5	1	India
0.5	1.5	1	India
1.5	2.5	1	India
0.5	3.5	3	India
2.5	1.5	-1	India
2.5	3.5	1	India
0.5	0.5	0	India
1.5	2.5	1	India
1.5	2.5	1	India
0.5	0.5	0	India
0.5	1.5	1	India
0.5	1.5	1	India
1.5	2.5	1	India
1.5	2.5	1	India
0.5	3.5	3	India
0.5	0.5	0	India
2.5	3.5	1	India
0.5	0.5	0	India
1.5	1.5	0	India
1.5	2.5	1	India
0.5	0.5	0	India
3.5	3.5	0	India
1.5	1.5	0	India
1.5	2.5	1	India
1.5	3.5	2	India
2.5	2.5	0	India
0.5	1.5	1	India
2.5	3.5	1	India
2.5	3.5	1	India
2.5	2.5	0	India
0.5	1.5	1	India
2.5	2.5	0	India
1.5	1.5	0	India
2.5	2.5	0	India
1.5	3.5	2	India
0.5	1.5	1	India
0.5	0.5	0	India
0.5	3.5	3	India
2.5	2.5	0	India
1.5	3.5	2	India
0.5	0.5	0	India
1.5	1.5	0	India
1.5	1.5	0	India
0.5	1.5	1	India
1.5	3.5	2	India
1.5	2.5	1	India
1.5	1.5	0	India
1.5	2.5	1	India
3.5	3.5	0	India
1.5	3.5	2	India
0.5	0.5	0	India
1.5	2.5	1	India
1.5	1.5	0	India
2.5	3.5	1	India
0.5	2.5	2	India
0.5	0.5	0	India
1.5	3.5	2	India
3.5	3.5	0	India
0.5	0.5	0	India
0.5	1.5	1	India
0.5	0.5	0	India
1.5	1.5	0	India
2.5	3.5	1	India
2.5	2.5	0	India
0.5	0.5	0	India
0.5	0.5	0	India
2.5	3.5	1	India
1.5	3.5	2	India
0.5	0.5	0	India
2.5	3.5	1	India
2.5	2.5	0	India
3.5	3.5	0	India
3.5	3.5	0	India
3.5	3.5	0	India
1.5	3.5	2	India
1.5	3.5	2	India
0.5	1.5	1	India
1.5	2.5	1	India
3.5	3.5	0	India
1.5	3.5	2	India
1.5	2.5	1	India
0.5	0.5	0	India
1.5	2.5	1	India
2.5	2.5	0	India
1.5	2.5	1	India
3.5	2.5	-1	India
0.5	1.5	1	India
0.5	0.5	0	India
1.5	3.5	2	India
2.5	2.5	0	India
3.5	3.5	0	India
2.5	2.5	0	India
0.5	0.5	0	India
0.5	0.5	0	India
1.5	1.5	0	India
0.5	1.5	1	India
2.5	3.5	1	India
1.5	3.5	2	India
1.5	2.5	1	India
3.5	3.5	0	India
1.5	2.5	1	India
0.5	0.5	0	India
0.5	0.5	0	India
1.5	1.5	0	India
1.5	3.5	2	India
1.5	2.5	1	India
3.5	3.5	0	India
0.5	2.5	2	India
1.5	1.5	0	India
1.5	3.5	2	India
1.5	3.5	2	India
0.5	1.5	1	India
1.5	3.5	2	India
3.5	3.5	0	India
1.5	1.5	0	India
3.5	3.5	0	India
0.5	2.5	2	India
1.5	2.5	1	India
0.5	2.5	2	India
1.5	1.5	0	India
0.5	0.5	0	India
0.5	0.5	0	India
1.5	3.5	2	India
1.5	2.5	1	India
1.5	3.5	2	India
1.5	3.5	2	India
2.5	3.5	1	India
1.5	1.5	0	India
2.5	3.5	1	India
1.5	3.5	2	India
1.5	3.5	2	India
0.5	0.5	0	India
0.5	3.5	3	India
0.5	0.5	0	India
0.5	1.5	1	India
0.5	1.5	1	India
3.5	3.5	0	India
3.5	3.5	0	India
2.5	3.5	1	India
3.5	3.5	0	India
1.5	3.5	2	India
0.5	0.5	0	India
1.5	2.5	1	India
3.5	2.5	-1	India
0.5	0.5	0	India
2.5	2.5	0	India
2.5	2.5	0	India
0.5	1.5	1	India
1.5	3.5	2	India
1.5	2.5	1	India
3.5	1.5	-2	India
2.5	2.5	0	India
3.5	3.5	0	India
1.5	3.5	2	India
0.5	1.5	1	India
1.5	3.5	2	India
2.5	3.5	1	India
0.5	2.5	2	India
0.5	0.5	0	India
0.5	0.5	0	India
1.5	2.5	1	India
2.5	1.5	-1	India
1.5	1.5	0	India
1.5	1.5	0	India
0.5	0.5	0	India
3.5	1.5	-2	India
0.5	3.5	3	India
1.5	3.5	2	India
0.5	1.5	1	India
1.5	2.5	1	India
1.5	2.5	1	India
0.5	3.5	3	India
2.5	3.5	1	India
2.5	3.5	1	India
1.5	1.5	0	India
3.5	3.5	0	India
2.5	3.5	1	India
0.5	2.5	2	India
3.5	3.5	0	India
1.5	3.5	2	India
3.5	3.5	0	India
0.5	1.5	1	India
2.5	3.5	1	India
1.5	1.5	0	India
3.5	3.5	0	India
1.5	1.5	0	India
3.5	1.5	-2	India
3.5	3.5	0	India
2.5	2.5	0	India
0.5	1.5	1	India
1.5	2.5	1	India
0.5	0.5	0	India
1.5	1.5	0	India
0.5	3.5	3	India
0.5	1.5	1	India
0.5	1.5	1	India
