Association	Age	Profession	Gender	Location	Education	Panic	Before	After	Rise
None	21-30	Stud.	Male	City	Masters	3	<1	1-2	1
None	21-30	Stud.	Male	Village	Masters	2	<1	>3	3
Research	21-30	Stud.	Male	City	Bachelors	2	1-2	2-3	1
None	21-30	Stud.	Male	Suburban	Masters	2	2-3	>3	1
Research	21-30	Stud.	Male	Suburban	Masters	4	2-3	>3	1
None	31-40	Acad.	Male	City	Doctorate	2	<1	1-2	1
Other	21-30	Indus.	Male	City	Bachelors	4	1-2	2-3	1
None	21-30	Indus.	Female	City	Bachelors	4	>3	>3	0
Other	21-30	Indus.	Female	City	Bachelors	3	1-2	2-3	1
None	21-30	Stud.	Male	Suburban	Masters	1	1-2	2-3	1
Other	21-30	Stud.	Female	City	Masters	2	<1	1-2	1
Other	21-30	Stud.	Male	City	Masters	2	1-2	2-3	1
Other	21-30	Stud.	Female	City	Bachelors	4	<1	>3	3
None	21-30	Stud.	Male	City	Bachelors	1	2-3	1-2	-1
None	21-30	Indus.	Male	City	Masters	4	2-3	>3	1
None	21-30	Indus.	Male	City	Bachelors	1	<1	<1	0
None	21-30	Stud.	Male	City	Bachelors	3	1-2	2-3	1
Other	21-30	Stud.	Male	City	Bachelors	2	1-2	2-3	1
Other	21-30	Indus.	Male	City	Bachelors	3	<1	<1	0
None	21-30	Indus.	Female	City	Bachelors	3	<1	1-2	1
None	21-30	Indus.	Female	City	Bachelors	0	<1	1-2	1
None	21-30	Stud.	Male	City	Bachelors	3	1-2	2-3	1
Other	21-30	Indus.	Male	Village	Bachelors	3	1-2	2-3	1
Other	21-30	Indus.	Male	City	Bachelors	3	<1	>3	3
None	21-30	Stud.	Male	Suburban	Bachelors	5	<1	<1	0
Other	21-30	Stud.	Male	City	Bachelors	3	2-3	>3	1
None	21-30	Stud.	Female	City	Masters	3	<1	<1	0
None	21-30	Indus.	Male	City	Bachelors	1	1-2	1-2	0
None	21-30	Indus.	Female	City	Bachelors	2	1-2	2-3	1
None	21-30	Indus.	Male	City	Bachelors	1	<1	<1	0
None	21-30	Stud.	Female	City	Bachelors	5	>3	>3	0
Research	21-30	Stud.	Male	City	Doctorate	1	1-2	1-2	0
